ISIN,Company,LEVEL2 SECTOR NAME,LEVEL3 SECTOR NAME,LEVEL4 SECTOR NAME,LEVEL5 SECTOR NAME,GEOGRAPHIC DESCR.,TotalValue,EV,SUPPLIERCOSTS
AU000000CPU5,COMPUTERSHARE,Financials,Financial Services,Inv. Banking & Broker,Div. Fin. Services,AUSTRALIA,"5,085,887,000",NA,"810,148,527"
DK0010272202,GENMAB,Health Care,Health Care,Pharm. & Biotech,Biotechnology,DENMARK,"6,235,131,000","14,162,970,000","1,641,867,076"
CNE0000000T2,CHINA VANKE 'A',Real Estate,Real Estate,Real Estate Inv & Svs,"Real Estate Hold, Dev",CHINA,"170,180,525,000","60,702,926,320","35,904,997,359"
CNE000001NG4,DAQIN RAILWAY 'A',Industrials,Ind. Goods & Services,Ind. Transportation,Railroads,CHINA,"28,168,871,000","10,898,278,870","5,989,803,176"
SG1L01001701,DBS GROUP HOLDINGS,Financials,Banks,Banks,Banks,SINGAPORE,"605,748,764,000",NA,"16,861,183,294"
KR7005830005,DB INSURANCE,Financials,Insurance,Non-life Insurance,Prop. & Casualty Ins.,SOUTH KOREA,"45,166,808,000",NA,"7,332,819,864"
TH0528A10Z06,DELTA ELECTRONICS,Technology,Technology,"Tech. Hardware, Equip",Electronic Components,THAILAND,"3,593,064,000","84,315,005,180","3,460,617,327"
JP3499800005,MITSUBISHI HC CAPITAL,Financials,Financial Services,Finance & Credit Svs,Consumer Lending,JAPAN,"78,486,734,000",NA,"4,293,197,006"
TW0002308004,DELTA ELECTRONICS,Industrials,Ind. Goods & Services,Elec. & Electrical Eq,Electrical Components,TAIWAN,"15,943,249,000","81,415,880,530","9,199,872,090"
SE0000148884,SKANDINAVISKA ENSKILDA BANKEN A,Financials,Banks,Banks,Banks,SWEDEN,"340,157,726,000",NA,"10,153,263,203"
KR7042660001,HANWHA OCEAN,Industrials,Ind. Goods & Services,Ind. Transportation,Marine Transportation,SOUTH KOREA,"11,776,812,000","26,600,016,170","4,288,444,701"
US4062161017,HALLIBURTON,Energy,Energy,"Oil, Gas and Coal",Oil Equipment & Svs,UNITED STATES,"23,248,000,000","25,831,730,000","17,301,439,687"
US3848021040,WW GRAINGER,Industrials,Ind. Goods & Services,Ind. Support Services,Industrial Suppliers,UNITED STATES,"8,829,000,000","50,724,110,000","10,868,005,711"
FR0000130452,EIFFAGE,Industrials,Construction & Mats,Construction & Mats,Construction,FRANCE,"41,476,324,000","25,368,965,040","18,576,494,439"
TW0002892007,FIRST FINANCIAL HOLDING,Financials,Banks,Banks,Banks,TAIWAN,"143,331,896,000",NA,"3,083,241,276"
HK0656038673,FOSUN INTERNATIONAL,Industrials,Ind. Goods & Services,General Industrials,Divers. Industrials,HONG KONG,"108,032,097,000","21,173,417,930","18,872,046,361"
US46625H1005,JP MORGAN CHASE & CO.,Financials,Banks,Banks,Banks,UNITED STATES,"4,002,814,000,000",NA,"157,291,942,357"
BMG507361001,JARDINE MATHESON HDG.,Industrials,Ind. Goods & Services,General Industrials,Divers. Industrials,SINGAPORE,"86,200,045,000",NA,"25,763,965,983"
TW0001402006,FAR EASTERN NEW CENTURY,Industrials,Ind. Goods & Services,General Industrials,Divers. Industrials,TAIWAN,"20,717,379,000","11,357,425,440","5,925,198,189"
TW0003443008,GUC,Technology,Technology,"Tech. Hardware, Equip",Semiconductors,TAIWAN,"801,367,000","5,747,691,360","547,146,174"
CA4530384086,IMPERIAL OIL,Energy,Energy,"Oil, Gas and Coal",Integrated Oil & Gas,CANADA,"29,855,403,000","43,872,722,570","26,928,414,981"
ZAE000018123,GOLD FIELDS,Basic Materials,Basic Resources,Prec. Metals & Mining,Gold Mining,SOUTH AFRICA,"9,988,805,000","35,390,030,000","3,033,002,753"
SG1U68934629,KEPPEL,Utilities,Utilities,"Gas, Water & Mul Util",Multi-Utilities,SINGAPORE,"20,211,638,000","16,734,806,940","3,381,767,203"
CA4495861060,IGM FINL.,Financials,Financial Services,Inv. Banking & Broker,"Asset Mngr, Custodian",CANADA,"14,378,741,000",NA,"623,009,539"
CA45823T1066,INTACT FINANCIAL,Financials,Insurance,Non-life Insurance,Prop. & Casualty Ins.,CANADA,"40,871,961,000",NA,"12,403,568,174"
ES0171996087,GRIFOLS ORD CL A,Health Care,Health Care,Pharm. & Biotech,Biotechnology,SPAIN,"21,810,994,000","20,001,270,480","4,102,292,272"
HK0270001396,GUANGDONG INVESTMENT,Utilities,Utilities,"Gas, Water & Mul Util",Water,HONG KONG,"17,430,190,000","7,849,796,670","1,664,942,241"
BMG0450A1053,ARCH CAP.GP.,Financials,Insurance,Non-life Insurance,Full Line Insurance,UNITED STATES,"70,906,000,000",NA,"11,410,290,685"
CNE000001FW7,HUAXIA BANK 'A',Financials,Banks,Banks,Banks,CHINA,"598,910,405,000","24,620,330,030","14,943,301,423"
CNE000001C32,HAINAN AIRPORT INFRASTRUCTURE 'A',Real Estate,Real Estate,Real Estate Inv & Svs,"Real Estate Hold, Dev",CHINA,"7,292,437,000",NA,"439,974,274"
JP3201200007,OLYMPUS,Health Care,Health Care,Medical Eq. Services,Medical Equipment,JAPAN,"9,144,213,000","12,905,860,270","3,089,898,447"
KR7086790003,HANA FINANCIAL GROUP,Financials,Banks,Banks,Banks,SOUTH KOREA,"433,165,799,000",NA,"11,588,994,326"
US16411R2085,CHENIERE EN.,Energy,Energy,"Oil, Gas and Coal",Pipelines,UNITED STATES,"43,839,000,000","66,293,630,000","11,841,200,636"
US0188021085,ALLIANT ENERGY (XSC),Utilities,Utilities,Electricity,Conv. Electricity,UNITED STATES,"22,714,000,000","26,803,950,000","2,481,557,030"
FR0000052292,HERMES INTL.,Consumer Discretion,Consumer Prod & Svs,Personal Goods,"Clothing, Accessories",FRANCE,"22,941,155,000","253,921,444,250","8,965,604,611"
CNE000000M15,HUAYU AUTOMOTIVE SYS.'A',Consumer Discretion,Automobiles & Parts,Automobiles & Parts,Auto Parts,CHINA,"24,535,434,000","3,677,716,970","17,873,502,606"
CNE000001HH4,HUAIBEI MINING HOLDINGS 'A',Energy,Energy,"Oil, Gas and Coal",Coal,CHINA,"11,831,770,000","6,460,634,640","6,761,990,655"
US5398301094,LOCKHEED MARTIN,Industrials,Ind. Goods & Services,Aerospace & Defense,Defense,UNITED STATES,"52,060,000,000","130,413,900,000","43,042,446,185"
